------+----------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File                      Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
   34 |  1 decompress_v2_fast.asm     34 | Equivalence | 00 |         |    0 | 00/0000               | MIN_MATCH_SIZE_V2             equ   2                    
   35 |  1 decompress_v2_fast.asm     35 | Equivalence | 00 |         |    0 | 00/0000               | LITERALS_RUN_LEN_V2           equ   3                    
   36 |  1 decompress_v2_fast.asm     36 | Equivalence | 00 |         |    0 | 00/0000               | MATCH_RUN_LEN_V2              equ   7                    
   37 |  1 decompress_v2_fast.asm     37 | Empty       | 00 |         |    0 | 00/0000               |                                                          
   38 |  1 decompress_v2_fast.asm     38 | Equivalence | 00 |         |    0 | 00/0000               | sourcePtr                     equ   0                    
   39 |  1 decompress_v2_fast.asm     39 | Equivalence | 00 |         |    0 | 00/0000               | destPtr                       equ   4                    
   40 |  1 decompress_v2_fast.asm     40 | Equivalence | 00 |         |    0 | 00/0000               | matchPtr                      equ   8                    
   41 |  1 decompress_v2_fast.asm     41 | Equivalence | 00 |         |    0 | 00/0000               | NIBBLE                        equ   12                   
   42 |  1 decompress_v2_fast.asm     42 | Equivalence | 00 |         |    0 | 00/0000               | SUB_OFFSET                    equ   14                   
   43 |  1 decompress_v2_fast.asm     43 | Equivalence | 00 |         |    0 | 00/0000               | TOKEN_WORD                    equ   16                   
   44 |  1 decompress_v2_fast.asm     44 | Empty       | 00 |         |    0 | 00/0000               |                                                          
   45 |  1 decompress_v2_fast.asm     45 | Code        | 00 |         |    2 | 00/0000 : 64 0C       |                               stz   {12}                 
   46 |  1 decompress_v2_fast.asm     46 | Empty       | 00 |         |    0 | 00/0002               |                                                          
   47 |  1 decompress_v2_fast.asm     47 | Empty       | 00 |         |    0 | 00/0002               | DECODE_TOKEN                                             
   48 |  1 decompress_v2_fast.asm     48 | Empty       | 00 |         |    0 | 00/0002               |                                                          
   49 |  1 decompress_v2_fast.asm     49 | Code        | 00 |         |    3 | 00/0002 : A0 01 00    |                               ldy   #1                   
   50 |  1 decompress_v2_fast.asm     50 | Code        | 00 |         |    2 | 00/0005 : A7 00       |                               lda   [{0}]                ;read token byte: XYZ|LL|MMM
   51 |  1 decompress_v2_fast.asm     51 | Code        | 00 |         |    2 | 00/0007 : 85 10       |                               sta   {16}                 
   52 |  1 decompress_v2_fast.asm     52 | Code        | 00 |         |    3 | 00/0009 : 29 18 00    |                               and   #%00011000           ;isolate literals count (LL)
   53 |  1 decompress_v2_fast.asm     53 | Code        | 00 |         |    2 | 00/000C : F0 78       |                               beq   NO_LITERALS          ;skip if no literals to copy
   54 |  1 decompress_v2_fast.asm     54 | Code        | 00 |         |    3 | 00/000E : C9 10 00    |                               cmp   #%00010000           
   55 |  1 decompress_v2_fast.asm     55 | Code        | 00 |         |    2 | 00/0011 : F0 38       |                               beq   COPY_16BIT_LITERAL   
   56 |  1 decompress_v2_fast.asm     56 | Code        | 00 |         |    3 | 00/0013 : C9 08 00    |                               cmp   #%00001000           
   57 |  1 decompress_v2_fast.asm     57 | Code        | 00 |         |    2 | 00/0016 : F0 46       |                               beq   COPY_8BIT_LITERAL    
   58 |  1 decompress_v2_fast.asm     58 | Empty       | 00 |         |    0 | 00/0018               |                                                          
   59 |  1 decompress_v2_fast.asm     59 | Comment     | 00 |         |    0 | 00/0018               | ;--------------------------------
   60 |  1 decompress_v2_fast.asm     60 | Code        | 00 |         |    2 | 00/0018 : A5 0C       |                               lda   {12}                 ;get extra literals length nibble
   61 |  1 decompress_v2_fast.asm     61 | Code        | 00 |         |    2 | 00/001A : 10 08       |                               bpl   GETNIBBLE            
   62 |  1 decompress_v2_fast.asm     62 | Code        | 00 |         |    3 | 00/001C : 29 0F 00    |                               and   #$0F                 
   63 |  1 decompress_v2_fast.asm     63 | Code        | 00 |         |    2 | 00/001F : 85 0C       |                               sta   {12}                 
   64 |  1 decompress_v2_fast.asm     64 | Code        | 00 |         |    1 | 00/0021 : 18          |                               clc                        
   65 |  1 decompress_v2_fast.asm     65 | Code        | 00 |         |    2 | 00/0022 : 80 0F       |                               bra   GOTNIBBLE            
   66 |  1 decompress_v2_fast.asm     66 | Empty       | 00 |         |    0 | 00/0024               |                                                          
   67 |  1 decompress_v2_fast.asm     67 | Empty       | 00 |         |    0 | 00/0024               | GETNIBBLE                                                
   68 |  1 decompress_v2_fast.asm     68 | Code        | 00 |         |    2 | 00/0024 : A5 11       |                               lda   {16}+1               
   69 |  1 decompress_v2_fast.asm     69 | Code        | 00 |         |    1 | 00/0026 : C8          |                               iny                        
   70 |  1 decompress_v2_fast.asm     70 | Code        | 00 |         |    3 | 00/0027 : 09 00 80    |                               ora   #$8000               
   71 |  1 decompress_v2_fast.asm     71 | Code        | 00 |         |    2 | 00/002A : 85 0C       |                               sta   {12}                 
   72 |  1 decompress_v2_fast.asm     72 | Code        | 00 |         |    3 | 00/002C : 29 F0 00    |                               and   #$F0                 
   73 |  1 decompress_v2_fast.asm     73 | Code        | 00 |         |    1 | 00/002F : 4A          |                               lsr                        
   74 |  1 decompress_v2_fast.asm     74 | Code        | 00 |         |    1 | 00/0030 : 4A          |                               lsr                        
   75 |  1 decompress_v2_fast.asm     75 | Code        | 00 |         |    1 | 00/0031 : 4A          |                               lsr                        
   76 |  1 decompress_v2_fast.asm     76 | Code        | 00 |         |    1 | 00/0032 : 4A          |                               lsr                        
   77 |  1 decompress_v2_fast.asm     77 | Empty       | 00 |         |    0 | 00/0033               |                                                          
   78 |  1 decompress_v2_fast.asm     78 | Empty       | 00 |         |    0 | 00/0033               | GOTNIBBLE                                                ;add nibble to len from token
   79 |  1 decompress_v2_fast.asm     79 | Comment     | 00 |         |    0 | 00/0033               | ;--------------------------------
   80 |  1 decompress_v2_fast.asm     80 | Code        | 00 |         |    3 | 00/0033 : 69 03 00    |                               adc   #{3}                 ;carry is clear
   81 |  1 decompress_v2_fast.asm     81 | Code        | 00 |         |    3 | 00/0036 : C9 12 00    |                               cmp   #{3}+15              
   82 |  1 decompress_v2_fast.asm     82 | Code        | 00 |         |    2 | 00/0039 : 90 38       |                               bcc   PREPARE_COPY_LITERALS_DIRECT;if less, literals count is complete
   83 |  1 decompress_v2_fast.asm     83 | Empty       | 00 |         |    0 | 00/003B               |                                                          
   84 |  1 decompress_v2_fast.asm     84 | Code        | 00 |         |    2 | 00/003B : B7 00       |                               lda   [{0}],y              
   85 |  1 decompress_v2_fast.asm     85 | Code        | 00 |         |    1 | 00/003D : C8          |                               iny                        
   86 |  1 decompress_v2_fast.asm     86 | Code        | 00 |         |    3 | 00/003E : 29 FF 00    |                               and   #$FF                 ;get extra byte of variable literals count. carry is always set.
   87 |  1 decompress_v2_fast.asm     87 | Code        | 00 |         |    3 | 00/0041 : E9 EE 00    |                               sbc   #$EE                 ;overflow?
   88 |  1 decompress_v2_fast.asm     88 | Code        | 00 |         |    2 | 00/0044 : B0 29       |                               bcs   PREPARE_COPY_LITERALS_LARGE;if so, literals count is large
   89 |  1 decompress_v2_fast.asm     89 | Code        | 00 |         |    3 | 00/0046 : 29 FF 00    |                               and   #$FF                 
   90 |  1 decompress_v2_fast.asm     90 | Code        | 00 |         |    2 | 00/0049 : 80 28       |                               bra   PREPARE_COPY_LITERALS_DIRECT
   91 |  1 decompress_v2_fast.asm     91 | Empty       | 00 |         |    0 | 00/004B               |                                                          
   92 |  1 decompress_v2_fast.asm     92 | Empty       | 00 |         |    0 | 00/004B               | COPY_16BIT_LITERAL                                       
   93 |  1 decompress_v2_fast.asm     93 | Code        | 00 |         |    2 | 00/004B : B7 00       |                               lda   [{0}],y              
   94 |  1 decompress_v2_fast.asm     94 | Code        | 00 |         |    1 | 00/004D : C8          |                               iny                        
   95 |  1 decompress_v2_fast.asm     95 | Code        | 00 |         |    1 | 00/004E : C8          |                               iny                        
   96 |  1 decompress_v2_fast.asm     96 | Code        | 00 |         |    2 | 00/004F : 87 04       |                               sta   [{4}]                
   97 |  1 decompress_v2_fast.asm     97 | Code        | 00 |         |    2 | 00/0051 : A5 04       |                               lda   {4}                  
   98 |  1 decompress_v2_fast.asm     98 | Code        | 00 |         |    3 | 00/0053 : 69 01 00    |                               adc   #2-1                 ;carry is set
   99 |  1 decompress_v2_fast.asm     99 | Code        | 00 |         |    2 | 00/0056 : 85 04       |                               sta   {4}                  
  100 |  1 decompress_v2_fast.asm    100 | Code        | 00 |         |    2 | 00/0058 : 90 2C       |                               bcc   NO_LITERALS          
  101 |  1 decompress_v2_fast.asm    101 | Code        | 00 |         |    2 | 00/005A : E6 06       |                               inc   {4}+2                
  102 |  1 decompress_v2_fast.asm    102 | Code        | 00 |         |    2 | 00/005C : 80 28       |                               bra   NO_LITERALS          
  103 |  1 decompress_v2_fast.asm    103 | Empty       | 00 |         |    0 | 00/005E               |                                                          
  104 |  1 decompress_v2_fast.asm    104 | Empty       | 00 |         |    0 | 00/005E               | COPY_8BIT_LITERAL                                        
  105 |  1 decompress_v2_fast.asm    105 | Directive   | 10 |         |    0 | 00/005E               |                               mx    %10                  
  106 |  1 decompress_v2_fast.asm    106 | Code        | 10 |         |    2 | 00/005E : E2 20       |                               sep   #$20                 
  107 |  1 decompress_v2_fast.asm    107 | Code        | 10 |         |    2 | 00/0060 : A5 11       |                               lda   {16}+1               
  108 |  1 decompress_v2_fast.asm    108 | Code        | 10 |         |    1 | 00/0062 : C8          |                               iny                        
  109 |  1 decompress_v2_fast.asm    109 | Code        | 10 |         |    2 | 00/0063 : 87 04       |                               sta   [{4}]                
  110 |  1 decompress_v2_fast.asm    110 | Code        | 00 |         |    2 | 00/0065 : C2 30       |                               rep   #$30                 
  111 |  1 decompress_v2_fast.asm    111 | Directive   | 00 |         |    0 | 00/0067               |                               mx    %00                  
  112 |  1 decompress_v2_fast.asm    112 | Code        | 00 |         |    2 | 00/0067 : E6 04       |                               inc   {4}                  
  113 |  1 decompress_v2_fast.asm    113 | Code        | 00 |         |    2 | 00/0069 : D0 1B       |                               bne   NO_LITERALS          
  114 |  1 decompress_v2_fast.asm    114 | Code        | 00 |         |    2 | 00/006B : E6 06       |                               inc   {4}+2                
  115 |  1 decompress_v2_fast.asm    115 | Code        | 00 |         |    2 | 00/006D : 80 17       |                               bra   NO_LITERALS          
  116 |  1 decompress_v2_fast.asm    116 | Empty       | 00 |         |    0 | 00/006F               |                                                          
  117 |  1 decompress_v2_fast.asm    117 | Empty       | 00 |         |    0 | 00/006F               | PREPARE_COPY_LITERALS_LARGE                              
  118 |  1 decompress_v2_fast.asm    118 | Code        | 00 |         |    2 | 00/006F : B7 00       |                               lda   [{0}],y              
  119 |  1 decompress_v2_fast.asm    119 | Code        | 00 |         |    1 | 00/0071 : C8          |                               iny                        
  120 |  1 decompress_v2_fast.asm    120 | Code        | 00 |         |    1 | 00/0072 : C8          |                               iny                        
  121 |  1 decompress_v2_fast.asm    121 | Empty       | 00 |         |    0 | 00/0073               | PREPARE_COPY_LITERALS_DIRECT                             
  122 |  1 decompress_v2_fast.asm    122 | Code        | 00 |         |    1 | 00/0073 : AA          |                               tax                        
  123 |  1 decompress_v2_fast.asm    123 | Empty       | 00 |         |    0 | 00/0074               |                                                          
  124 |  1 decompress_v2_fast.asm    124 | Empty       | 00 |         |    0 | 00/0074               | COPY_LITERALS                                            
  125 |  1 decompress_v2_fast.asm    125 | Code        | 10 |         |    2 | 00/0074 : E2 20       |                               sep   #$20                 ; short m
  126 |  1 decompress_v2_fast.asm    126 | Directive   | 10 |         |    0 | 00/0076               |                               mx    %10                  
  127 |  1 decompress_v2_fast.asm    127 | Code        | 10 |         |    2 | 00/0076 : B7 00       |                               lda   [{0}],y              
  128 |  1 decompress_v2_fast.asm    128 | Code        | 10 |         |    2 | 00/0078 : 87 04       |                               sta   [{4}]                
  129 |  1 decompress_v2_fast.asm    129 | Code        | 00 |         |    2 | 00/007A : C2 30       |                               rep   #$30                 ;long	m
  130 |  1 decompress_v2_fast.asm    130 | Directive   | 00 |         |    0 | 00/007C               |                               mx    %00                  
  131 |  1 decompress_v2_fast.asm    131 | Code        | 00 |         |    2 | 00/007C : E6 04       |                               inc   {4}                  
  132 |  1 decompress_v2_fast.asm    132 | Code        | 00 |         |    2 | 00/007E : D0 02       |                               bne   CL2                  
  133 |  1 decompress_v2_fast.asm    133 | Code        | 00 |         |    2 | 00/0080 : E6 06       |                               inc   {4}+2                
  134 |  1 decompress_v2_fast.asm    134 | Code        | 00 |         |    1 | 00/0082 : C8          | CL2                           iny                        
  135 |  1 decompress_v2_fast.asm    135 | Code        | 00 |         |    1 | 00/0083 : CA          |                               dex                        
  136 |  1 decompress_v2_fast.asm    136 | Code        | 00 |         |    2 | 00/0084 : D0 EE       |                               bne   COPY_LITERALS        
  137 |  1 decompress_v2_fast.asm    137 | Empty       | 00 |         |    0 | 00/0086               |                                                          
  138 |  1 decompress_v2_fast.asm    138 | Empty       | 00 |         |    0 | 00/0086               | NO_LITERALS                                              
  139 |  1 decompress_v2_fast.asm    139 | Code        | 00 |         |    2 | 00/0086 : A5 0F       |                               lda   {16}-1               ;retrieve token again, but put it in the high 8 bits
  140 |  1 decompress_v2_fast.asm    140 | Code        | 00 |         |    1 | 00/0088 : 0A          |                               asl                        
  141 |  1 decompress_v2_fast.asm    141 | Code        | 00 |         |    2 | 00/0089 : B0 62       |                               bcs   REPMATCH_OR_LARGE_OFFSET;1YZ: rep-match or 13/16 bit offset
  142 |  1 decompress_v2_fast.asm    142 | Empty       | 00 |         |    0 | 00/008B               |                                                          
  143 |  1 decompress_v2_fast.asm    143 | Code        | 00 |         |    1 | 00/008B : 0A          |                               asl                        ;0YZ: 5 or 9 bit offset
  144 |  1 decompress_v2_fast.asm    144 | Code        | 00 |         |    2 | 00/008C : B0 49       |                               bcs   OFFSET_9_BIT         
  145 |  1 decompress_v2_fast.asm    145 | Empty       | 00 |         |    0 | 00/008E               |                                                          
  146 |  1 decompress_v2_fast.asm    146 | Comment     | 00 |         |    0 | 00/008E               | ;--------------------------------
  147 |  1 decompress_v2_fast.asm    147 | Code        | 00 |         |    1 | 00/008E : 0A          |                               asl                        ;00Z: 5 bit offset
  148 |  1 decompress_v2_fast.asm    148 | Code        | 00 |         |    2 | 00/008F : 90 24       |                               bcc   OFFSET5_BIT0_SET     
  149 |  1 decompress_v2_fast.asm    149 | Code        | 00 |         |    2 | 00/0091 : A5 0C       |                               lda   {12}                 
  150 |  1 decompress_v2_fast.asm    150 | Code        | 00 |         |    2 | 00/0093 : 10 0C       |                               bpl   GETNIBBLE2           
  151 |  1 decompress_v2_fast.asm    151 | Code        | 00 |         |    3 | 00/0095 : 29 0F 00    |                               and   #$0F                 
  152 |  1 decompress_v2_fast.asm    152 | Code        | 00 |         |    2 | 00/0098 : 85 0C       |                               sta   {12}                 
  153 |  1 decompress_v2_fast.asm    153 | Code        | 00 |         |    1 | 00/009A : 0A          |                               asl                        ;nibble -> bits 1-4; 0 -> bit 0
  154 |  1 decompress_v2_fast.asm    154 | Code        | 00 |         |    3 | 00/009B : 09 E0 FF    |                               ora   #$FFE0               ;set offset bits 15-5 to 1
  155 |  1 decompress_v2_fast.asm    155 | Code        | 00 |  2      |    3 | 00/009E : 4C 41 01    |                               jmp   GOT_OFFSET           ;go store low byte of match offset and prepare match
  156 |  1 decompress_v2_fast.asm    156 | Empty       | 00 |         |    0 | 00/00A1               |                                                          
  157 |  1 decompress_v2_fast.asm    157 | Empty       | 00 |         |    0 | 00/00A1               | GETNIBBLE2                                               
  158 |  1 decompress_v2_fast.asm    158 | Code        | 00 |         |    2 | 00/00A1 : B7 00       |                               lda   [{0}],y              
  159 |  1 decompress_v2_fast.asm    159 | Code        | 00 |         |    1 | 00/00A3 : C8          |                               iny                        
  160 |  1 decompress_v2_fast.asm    160 | Code        | 00 |         |    3 | 00/00A4 : 09 00 80    |                               ora   #$8000               
  161 |  1 decompress_v2_fast.asm    161 | Code        | 00 |         |    2 | 00/00A7 : 85 0C       |                               sta   {12}                 
  162 |  1 decompress_v2_fast.asm    162 | Code        | 00 |         |    3 | 00/00A9 : 29 F0 00    |                               and   #$F0                 
  163 |  1 decompress_v2_fast.asm    163 | Code        | 00 |         |    1 | 00/00AC : 4A          |                               lsr                        
  164 |  1 decompress_v2_fast.asm    164 | Code        | 00 |         |    1 | 00/00AD : 4A          |                               lsr                        
  165 |  1 decompress_v2_fast.asm    165 | Code        | 00 |         |    1 | 00/00AE : 4A          |                               lsr                        ;nibble -> bits 1-4; 0 -> bit 0
  166 |  1 decompress_v2_fast.asm    166 | Code        | 00 |         |    3 | 00/00AF : 09 E0 FF    |                               ora   #$FFE0               ;set offset bits 15-5 to 1
  167 |  1 decompress_v2_fast.asm    167 | Code        | 00 |  2      |    3 | 00/00B2 : 4C 41 01    |                               jmp   GOT_OFFSET           ;go store low byte of match offset and prepare match
  168 |  1 decompress_v2_fast.asm    168 | Empty       | 00 |         |    0 | 00/00B5               |                                                          
  169 |  1 decompress_v2_fast.asm    169 | Empty       | 00 |         |    0 | 00/00B5               | OFFSET5_BIT0_SET                                         
  170 |  1 decompress_v2_fast.asm    170 | Code        | 00 |         |    2 | 00/00B5 : A5 0C       |                               lda   {12}                 
  171 |  1 decompress_v2_fast.asm    171 | Code        | 00 |         |    2 | 00/00B7 : 10 0B       |                               bpl   GETNIBBLE3           
  172 |  1 decompress_v2_fast.asm    172 | Code        | 00 |         |    3 | 00/00B9 : 29 0F 00    |                               and   #$0F                 
  173 |  1 decompress_v2_fast.asm    173 | Code        | 00 |         |    2 | 00/00BC : 85 0C       |                               sta   {12}                 
  174 |  1 decompress_v2_fast.asm    174 | Code        | 00 |         |    1 | 00/00BE : 0A          |                               asl                        ;nibble -> bits 1-4
  175 |  1 decompress_v2_fast.asm    175 | Code        | 00 |         |    3 | 00/00BF : 09 E1 FF    |                               ora   #$FFE1               ;set offset bits 15-5 to 1, bit 0 to 1
  176 |  1 decompress_v2_fast.asm    176 | Code        | 00 |         |    2 | 00/00C2 : 80 7D       |                               bra   GOT_OFFSET           ;go store low byte of match offset and prepare match
  177 |  1 decompress_v2_fast.asm    177 | Empty       | 00 |         |    0 | 00/00C4               |                                                          
  178 |  1 decompress_v2_fast.asm    178 | Empty       | 00 |         |    0 | 00/00C4               | GETNIBBLE3                                               
  179 |  1 decompress_v2_fast.asm    179 | Code        | 00 |         |    2 | 00/00C4 : B7 00       |                               lda   [{0}],y              
  180 |  1 decompress_v2_fast.asm    180 | Code        | 00 |         |    1 | 00/00C6 : C8          |                               iny                        
  181 |  1 decompress_v2_fast.asm    181 | Code        | 00 |         |    3 | 00/00C7 : 09 00 80    |                               ora   #$8000               
  182 |  1 decompress_v2_fast.asm    182 | Code        | 00 |         |    2 | 00/00CA : 85 0C       |                               sta   {12}                 
  183 |  1 decompress_v2_fast.asm    183 | Code        | 00 |         |    3 | 00/00CC : 29 F0 00    |                               and   #$F0                 
  184 |  1 decompress_v2_fast.asm    184 | Code        | 00 |         |    1 | 00/00CF : 4A          |                               lsr                        
  185 |  1 decompress_v2_fast.asm    185 | Code        | 00 |         |    1 | 00/00D0 : 4A          |                               lsr                        
  186 |  1 decompress_v2_fast.asm    186 | Code        | 00 |         |    1 | 00/00D1 : 4A          |                               lsr                        
  187 |  1 decompress_v2_fast.asm    187 | Code        | 00 |         |    3 | 00/00D2 : 09 E1 FF    |                               ora   #$FFE1               ;set offset bits 15-5 to 1, bit 0 to 1
  188 |  1 decompress_v2_fast.asm    188 | Code        | 00 |         |    2 | 00/00D5 : 80 6A       |                               bra   GOT_OFFSET           ;go store low byte of match offset and prepare match
  189 |  1 decompress_v2_fast.asm    189 | Comment     | 00 |         |    0 | 00/00D7               | ;--------------------------------
  190 |  1 decompress_v2_fast.asm    190 | Empty       | 00 |         |    0 | 00/00D7               |                                                          
  191 |  1 decompress_v2_fast.asm    191 | Empty       | 00 |         |    0 | 00/00D7               | OFFSET_9_BIT                                             ;01Z: 9 bit offset
  192 |  1 decompress_v2_fast.asm    192 | Code        | 00 |         |    1 | 00/00D7 : 0A          |                               asl                        ;a
  193 |  1 decompress_v2_fast.asm    193 | Code        | 00 |         |    2 | 00/00D8 : 90 0B       |                               bcc   OFF01Z_SET_BIT8      
  194 |  1 decompress_v2_fast.asm    194 | Code        | 00 |         |    2 | 00/00DA : B7 00       |                               lda   [{0}],y              
  195 |  1 decompress_v2_fast.asm    195 | Code        | 00 |         |    1 | 00/00DC : C8          |                               iny                        
  196 |  1 decompress_v2_fast.asm    196 | Code        | 00 |         |    3 | 00/00DD : 29 FF 00    |                               and   #$00FF               
  197 |  1 decompress_v2_fast.asm    197 | Code        | 00 |         |    3 | 00/00E0 : 09 00 FE    |                               ora   #$FE00               ;set offset bits 15-9 to 1
  198 |  1 decompress_v2_fast.asm    198 | Code        | 00 |         |    2 | 00/00E3 : 80 5C       |                               bra   GOT_OFFSET           
  199 |  1 decompress_v2_fast.asm    199 | Empty       | 00 |         |    0 | 00/00E5               |                                                          
  200 |  1 decompress_v2_fast.asm    200 | Empty       | 00 |         |    0 | 00/00E5               | OFF01Z_SET_BIT8                                          
  201 |  1 decompress_v2_fast.asm    201 | Code        | 00 |         |    2 | 00/00E5 : B7 00       |                               lda   [{0}],y              
  202 |  1 decompress_v2_fast.asm    202 | Code        | 00 |         |    1 | 00/00E7 : C8          |                               iny                        
  203 |  1 decompress_v2_fast.asm    203 | Code        | 00 |         |    3 | 00/00E8 : 09 00 FF    |                               ora   #$FF00               ;set offset bits 15-8 to 1
  204 |  1 decompress_v2_fast.asm    204 | Code        | 00 |         |    2 | 00/00EB : 80 54       |                               bra   GOT_OFFSET           
  205 |  1 decompress_v2_fast.asm    205 | Comment     | 00 |         |    0 | 00/00ED               | ;--------------------------------
  206 |  1 decompress_v2_fast.asm    206 | Empty       | 00 |         |    0 | 00/00ED               |                                                          
  207 |  1 decompress_v2_fast.asm    207 | Empty       | 00 |         |    0 | 00/00ED               | REPMATCH_OR_LARGE_OFFSET                                 
  208 |  1 decompress_v2_fast.asm    208 | Code        | 00 |         |    1 | 00/00ED : 0A          |                               asl                        ;a	13 bit offset?
  209 |  1 decompress_v2_fast.asm    209 | Code        | 00 |         |    2 | 00/00EE : B0 4A       |                               bcs   REPMATCH_OR_16_BIT   ;handle rep-match or 16-bit offset if not
  210 |  1 decompress_v2_fast.asm    210 | Empty       | 00 |         |    0 | 00/00F0               |                                                          
  211 |  1 decompress_v2_fast.asm    211 | Comment     | 00 |         |    0 | 00/00F0               | ;--------------------------------
  212 |  1 decompress_v2_fast.asm    212 | Code        | 00 |         |    1 | 00/00F0 : 0A          |                               asl                        ;a	10Z: 13 bit offset
  213 |  1 decompress_v2_fast.asm    213 | Code        | 00 |         |    2 | 00/00F1 : 90 1C       |                               bcc   OFFSET13_BIT0_SET    
  214 |  1 decompress_v2_fast.asm    214 | Code        | 00 |         |    2 | 00/00F3 : A5 0C       |                               lda   {12}                 
  215 |  1 decompress_v2_fast.asm    215 | Code        | 00 |         |    2 | 00/00F5 : 10 08       |                               bpl   GETNIBBLE4           
  216 |  1 decompress_v2_fast.asm    216 | Code        | 00 |         |    3 | 00/00F7 : 29 0F 00    |                               and   #$0F                 
  217 |  1 decompress_v2_fast.asm    217 | Code        | 00 |         |    2 | 00/00FA : 85 0C       |                               sta   {12}                 
  218 |  1 decompress_v2_fast.asm    218 | Code        | 00 |         |    1 | 00/00FC : 0A          |                               asl                        
  219 |  1 decompress_v2_fast.asm    219 | Code        | 00 |         |    2 | 00/00FD : 80 2E       |                               bra   SET_15_13            
