------+---------------------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File                                 Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
   38 |  2              phx/vicky_ii_def.asm     23 | Equivalence | 11 |         |    0 | 00/0000               | Border_Ctrl_Enable       =     $01                  
   39 |  2              phx/vicky_ii_def.asm     24 | Equivalence | 11 |         |    0 | 00/0000               | BORDER_CTRL_REG          =     $AF0004              ; Bit[0] - Enable (1 by default)  Bit[4..6]: X Scroll Offset ( Will scroll Left) (Acceptable Value: 0..7)
   40 |  2              phx/vicky_ii_def.asm     25 | Equivalence | 11 |         |    0 | 00/0000               | BORDER_COLOR_B           =     $AF0005              
   41 |  2              phx/vicky_ii_def.asm     26 | Equivalence | 11 |         |    0 | 00/0000               | BORDER_COLOR_G           =     $AF0006              
   42 |  2              phx/vicky_ii_def.asm     27 | Equivalence | 11 |         |    0 | 00/0000               | BORDER_COLOR_R           =     $AF0007              
   43 |  2              phx/vicky_ii_def.asm     28 | Equivalence | 11 |         |    0 | 00/0000               | BORDER_X_SIZE            =     $AF0008;X-Values:0-32(Default:32)
   44 |  2              phx/vicky_ii_def.asm     29 | Equivalence | 11 |         |    0 | 00/0000               | BORDER_Y_SIZE            =     $AF0009;Y-Values0-32(Default:32)
   45 |  2              phx/vicky_ii_def.asm     30 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   46 |  2              phx/vicky_ii_def.asm     31 | Equivalence | 11 |         |    0 | 00/0000               | BACKGROUND_COLOR_B       =     $AF000D              ; When in Graphic Mode, if a pixel is "0" then the Background pixel is chosen
   47 |  2              phx/vicky_ii_def.asm     32 | Equivalence | 11 |         |    0 | 00/0000               | BACKGROUND_COLOR_G       =     $AF000E              
   48 |  2              phx/vicky_ii_def.asm     33 | Equivalence | 11 |         |    0 | 00/0000               | BACKGROUND_COLOR_R       =     $AF000F              ;
   49 |  2              phx/vicky_ii_def.asm     34 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   50 |  2              phx/vicky_ii_def.asm     35 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_CTRL_REG  =     $AF0010              ;[0]  Enable Text Mode
   51 |  2              phx/vicky_ii_def.asm     36 | Equivalence | 11 |         |    0 | 00/0000               | Vky_Cursor_Enable        =     $01                  
   52 |  2              phx/vicky_ii_def.asm     37 | Equivalence | 11 |         |    0 | 00/0000               | Vky_Cursor_Flash_Rate0   =     $02                  
   53 |  2              phx/vicky_ii_def.asm     38 | Equivalence | 11 |         |    0 | 00/0000               | Vky_Cursor_Flash_Rate1   =     $04                  
   54 |  2              phx/vicky_ii_def.asm     39 | Equivalence | 11 |         |    0 | 00/0000               | Vky_Cursor_FONT_Page0    =     $08                  ; Pick Font Page 0 or Font Page 1
   55 |  2              phx/vicky_ii_def.asm     40 | Equivalence | 11 |         |    0 | 00/0000               | Vky_Cursor_FONT_Page1    =     $10                  ; Pick Font Page 0 or Font Page 1
   56 |  2              phx/vicky_ii_def.asm     41 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_START_ADD_PTR    =     $AF0011              ; This is an offset to change the Starting address of the Text Mode Buffer (in x)
   57 |  2              phx/vicky_ii_def.asm     42 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_CHAR_REG  =     $AF0012              
   58 |  2              phx/vicky_ii_def.asm     43 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   59 |  2              phx/vicky_ii_def.asm     44 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_COLR_REG  =     $AF0013              
   60 |  2              phx/vicky_ii_def.asm     45 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_X_REG_L   =     $AF0014              
   61 |  2              phx/vicky_ii_def.asm     46 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_X_REG_H   =     $AF0015              
   62 |  2              phx/vicky_ii_def.asm     47 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_Y_REG_L   =     $AF0016              
   63 |  2              phx/vicky_ii_def.asm     48 | Equivalence | 11 |         |    0 | 00/0000               | VKY_TXT_CURSOR_Y_REG_H   =     $AF0017              
   64 |  2              phx/vicky_ii_def.asm     49 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   65 |  2              phx/vicky_ii_def.asm     50 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   66 |  2              phx/vicky_ii_def.asm     51 | Comment     | 11 |         |    0 | 00/0000               | ; Line Interrupt Registers
   67 |  2              phx/vicky_ii_def.asm     52 | Equivalence | 11 |         |    0 | 00/0000               | VKY_LINE_IRQ_CTRL_REG    =     $AF001B              ;[0] - Enable Line 0, [1] -Enable Line 1
   68 |  2              phx/vicky_ii_def.asm     53 | Equivalence | 11 |         |    0 | 00/0000               | VKY_LINE0_CMP_VALUE_LO   =     $AF001C              ;Write Only [7:0]
   69 |  2              phx/vicky_ii_def.asm     54 | Equivalence | 11 |         |    0 | 00/0000               | VKY_LINE0_CMP_VALUE_HI   =     $AF001D              ;Write Only [3:0]
   70 |  2              phx/vicky_ii_def.asm     55 | Equivalence | 11 |         |    0 | 00/0000               | VKY_LINE1_CMP_VALUE_LO   =     $AF001E              ;Write Only [7:0]
   71 |  2              phx/vicky_ii_def.asm     56 | Equivalence | 11 |         |    0 | 00/0000               | VKY_LINE1_CMP_VALUE_HI   =     $AF001F              ;Write Only [3:0]
   72 |  2              phx/vicky_ii_def.asm     57 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   73 |  2              phx/vicky_ii_def.asm     58 | Comment     | 11 |         |    0 | 00/0000               | ; When you Read the Register
   74 |  2              phx/vicky_ii_def.asm     59 | Equivalence | 11 |         |    0 | 00/0000               | VKY_INFO_CHIP_NUM_L      =     $AF001C              
   75 |  2              phx/vicky_ii_def.asm     60 | Equivalence | 11 |         |    0 | 00/0000               | VKY_INFO_CHIP_NUM_H      =     $AF001D              
   76 |  2              phx/vicky_ii_def.asm     61 | Equivalence | 11 |         |    0 | 00/0000               | VKY_INFO_CHIP_VER_L      =     $AF001E              
   77 |  2              phx/vicky_ii_def.asm     62 | Equivalence | 11 |         |    0 | 00/0000               | VKY_INFO_CHIP_VER_H      =     $AF001F              
   78 |  2              phx/vicky_ii_def.asm     63 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   79 |  2              phx/vicky_ii_def.asm     64 | Comment     | 11 |         |    0 | 00/0000               | ; Mouse Pointer Graphic Memory
   80 |  2              phx/vicky_ii_def.asm     65 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_GRAP0_START    =     $AF0500              ; 16 x 16 = 256 Pixels (Grey Scale) 0 = Transparent, 1 = Black , 255 = White
   81 |  2              phx/vicky_ii_def.asm     66 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_GRAP0_END      =     $AF05FF              ; Pointer 0
   82 |  2              phx/vicky_ii_def.asm     67 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_GRAP1_START    =     $AF0600              ;
   83 |  2              phx/vicky_ii_def.asm     68 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_GRAP1_END      =     $AF06FF              ; Pointer 1
   84 |  2              phx/vicky_ii_def.asm     69 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   85 |  2              phx/vicky_ii_def.asm     70 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_CTRL_REG_L     =     $AF0700              ; Bit[0] Enable, Bit[1] = 0  ( 0 = Pointer0, 1 = Pointer1)
   86 |  2              phx/vicky_ii_def.asm     71 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_CTRL_REG_H     =     $AF0701              ;
   87 |  2              phx/vicky_ii_def.asm     72 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_X_POS_L        =     $AF0702              ; X Position (0 - 639) (Can only read now) Writing will have no effect
   88 |  2              phx/vicky_ii_def.asm     73 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_X_POS_H        =     $AF0703              ;
   89 |  2              phx/vicky_ii_def.asm     74 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_Y_POS_L        =     $AF0704              ; Y Position (0 - 479) (Can only read now) Writing will have no effect
   90 |  2              phx/vicky_ii_def.asm     75 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_Y_POS_H        =     $AF0705              ;
   91 |  2              phx/vicky_ii_def.asm     76 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_BYTE0          =     $AF0706              ; Byte 0 of Mouse Packet (you must write 3 Bytes)
   92 |  2              phx/vicky_ii_def.asm     77 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_BYTE1          =     $AF0707              ; Byte 1 of Mouse Packet (if you don't, then )
   93 |  2              phx/vicky_ii_def.asm     78 | Equivalence | 11 |         |    0 | 00/0000               | MOUSE_PTR_BYTE2          =     $AF0708              ; Byte 2 of Mouse Packet (state Machine will be jammed in 1 state)
   94 |  2              phx/vicky_ii_def.asm     79 | Comment     | 11 |         |    0 | 00/0000               |                                   ; (And the mouse won't work)
   95 |  2              phx/vicky_ii_def.asm     80 | Equivalence | 11 |         |    0 | 00/0000               | C256F_MODEL_MAJOR        =     $AF070B              ;
   96 |  2              phx/vicky_ii_def.asm     81 | Equivalence | 11 |         |    0 | 00/0000               | C256F_MODEL_MINOR        =     $AF070C              ;
   97 |  2              phx/vicky_ii_def.asm     82 | Equivalence | 11 |         |    0 | 00/0000               | FPGA_DOR                 =     $AF070D              ;
   98 |  2              phx/vicky_ii_def.asm     83 | Equivalence | 11 |         |    0 | 00/0000               | FPGA_MOR                 =     $AF070E              ;
   99 |  2              phx/vicky_ii_def.asm     84 | Equivalence | 11 |         |    0 | 00/0000               | FPGA_YOR                 =     $AF070F              ;
  100 |  2              phx/vicky_ii_def.asm     85 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  101 |  2              phx/vicky_ii_def.asm     86 | Comment     | 11 |         |    0 | 00/0000               | ;                       = $AF0800 ; the RTC is Here
  102 |  2              phx/vicky_ii_def.asm     87 | Comment     | 11 |         |    0 | 00/0000               | ;                       = $AF1000 ; The SuperIO Start is Here
  103 |  2              phx/vicky_ii_def.asm     88 | Comment     | 11 |         |    0 | 00/0000               | ;                       = $AF13FF ; The SuperIO Start is Here
  104 |  2              phx/vicky_ii_def.asm     89 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  105 |  2              phx/vicky_ii_def.asm     90 | Equivalence | 11 |         |    0 | 00/0000               | FG_CHAR_LUT_PTR          =     $AF1F40              
  106 |  2              phx/vicky_ii_def.asm     91 | Equivalence | 11 |         |    0 | 00/0000               | BG_CHAR_LUT_PTR          =     $AF1F80              
  107 |  2              phx/vicky_ii_def.asm     92 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  108 |  2              phx/vicky_ii_def.asm     93 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT0_PTR            =     $AF2000              
  109 |  2              phx/vicky_ii_def.asm     94 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT1_PTR            =     $AF2400              
  110 |  2              phx/vicky_ii_def.asm     95 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT2_PTR            =     $AF2800              
  111 |  2              phx/vicky_ii_def.asm     96 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT3_PTR            =     $AF2C00              
  112 |  2              phx/vicky_ii_def.asm     97 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT4_PTR            =     $AF3000              
  113 |  2              phx/vicky_ii_def.asm     98 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT5_PTR            =     $AF3400              
  114 |  2              phx/vicky_ii_def.asm     99 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT6_PTR            =     $AF3800              
  115 |  2              phx/vicky_ii_def.asm    100 | Equivalence | 11 |         |    0 | 00/0000               | GRPH_LUT7_PTR            =     $AF3C00              
  116 |  2              phx/vicky_ii_def.asm    101 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  117 |  2              phx/vicky_ii_def.asm    102 | Equivalence | 11 |         |    0 | 00/0000               | GAMMA_B_LUT_PTR          =     $AF4000              
  118 |  2              phx/vicky_ii_def.asm    103 | Equivalence | 11 |         |    0 | 00/0000               | GAMMA_G_LUT_PTR          =     $AF4100              
  119 |  2              phx/vicky_ii_def.asm    104 | Equivalence | 11 |         |    0 | 00/0000               | GAMMA_R_LUT_PTR          =     $AF4200              
  120 |  2              phx/vicky_ii_def.asm    105 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  121 |  2              phx/vicky_ii_def.asm    106 | Equivalence | 11 |         |    0 | 00/0000               | FONT_MEMORY_BANK0        =     $AF8000              ;$AF8000 - $AF87FF
  122 |  2              phx/vicky_ii_def.asm    107 | Equivalence | 11 |         |    0 | 00/0000               | FONT_MEMORY_BANK1        =     $AF8800              ;$AF8800 - $AF8FFF
  123 |  2              phx/vicky_ii_def.asm    108 | Equivalence | 11 |         |    0 | 00/0000               | CS_TEXT_MEM_PTR          =     $AFA000              
  124 |  2              phx/vicky_ii_def.asm    109 | Equivalence | 11 |         |    0 | 00/0000               | CS_COLOR_MEM_PTR         =     $AFC000              
  125 |  2              phx/vicky_ii_def.asm    110 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  126 |  2              phx/vicky_ii_def.asm    111 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  127 |  2              phx/vicky_ii_def.asm    112 | Equivalence | 11 |         |    0 | 00/0000               | BTX_START                =     $AFE000              ; BEATRIX Registers
  128 |  2              phx/vicky_ii_def.asm    113 | Equivalence | 11 |         |    0 | 00/0000               | BTX_END                  =     $AFFFFF              
  129 |  2              phx/vicky_ii_def.asm    114 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  130 |  2              phx/vicky_ii_def.asm    115 | Directive   | 11 |         |    0 | 00/0000               |                          put   VKYII_CFP9553_BITMAP_def.asm
  131 |  2              phx/vicky_ii_def.asm    116 | Directive   | 11 |         |    0 | 00/0000               |                          put   VKYII_CFP9553_TILEMAP_def.asm
  132 |  2              phx/vicky_ii_def.asm    117 | Directive   | 11 |         |    0 | 00/0000               |                          put   VKYII_CFP9553_VDMA_def.asm
  133 |  2              phx/vicky_ii_def.asm    118 | Directive   | 11 |         |    0 | 00/0000               |                          put   VKYII_CFP9553_SDMA_def.asm
  134 |  2              phx/vicky_ii_def.asm    119 | Directive   | 11 |         |    0 | 00/0000               |                          put   VKYII_CFP9553_SPRITE_def.asm
  135 |  2              phx/vicky_ii_def.asm    120 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  136 |  2              phx/vicky_ii_def.asm    121 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  137 |  1                             dma.s     16 | Directive   | 11 |         |    0 | 00/0000               |                          use   phx/VKYII_CFP9553_BITMAP_def.asm
  138 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      1 | Equivalence | 11 |         |    0 | 00/0000               | BM_Enable                =     $01                  
  139 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      2 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  140 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      3 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT0                  =     $00                  ;
  141 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      4 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT1                  =     $02                  ;
  142 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      5 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT2                  =     $04                  ;
  143 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      6 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT3                  =     $06                  ;
  144 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      7 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT4                  =     $08                  ;
  145 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      8 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT5                  =     $0A                  ;
  146 |  3  phx/VKYII_CFP9553_BITMAP_def.asm      9 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT6                  =     $0C                  ;
  147 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     10 | Equivalence | 11 |         |    0 | 00/0000               | BM_LUT7                  =     $0E                  ;
  148 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     11 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  149 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     12 | Equivalence | 11 |         |    0 | 00/0000               | BM_Collision_On          =     $40                  ;
  150 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     13 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  151 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     14 | Comment     | 11 |         |    0 | 00/0000               | ; First BitMap Plane
  152 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     15 | Equivalence | 11 |         |    0 | 00/0000               | BM0_CONTROL_REG          =     $AF0100              
  153 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     16 | Equivalence | 11 |         |    0 | 00/0000               | BM0_START_ADDY_L         =     $AF0101              
  154 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     17 | Equivalence | 11 |         |    0 | 00/0000               | BM0_START_ADDY_M         =     $AF0102              
  155 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     18 | Equivalence | 11 |         |    0 | 00/0000               | BM0_START_ADDY_H         =     $AF0103              
  156 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     19 | Equivalence | 11 |         |    0 | 00/0000               | BM0_X_OFFSET             =     $AF0104              ; Not Implemented
  157 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     20 | Equivalence | 11 |         |    0 | 00/0000               | BM0_Y_OFFSET             =     $AF0105              ; Not Implemented
  158 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     21 | Equivalence | 11 |         |    0 | 00/0000               | BM0_RESERVED_6           =     $AF0106              
  159 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     22 | Equivalence | 11 |         |    0 | 00/0000               | BM0_RESERVED_7           =     $AF0107              
  160 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     23 | Comment     | 11 |         |    0 | 00/0000               | ; Second BitMap Plane
  161 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     24 | Equivalence | 11 |         |    0 | 00/0000               | BM1_CONTROL_REG          =     $AF0108              
  162 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     25 | Equivalence | 11 |         |    0 | 00/0000               | BM1_START_ADDY_L         =     $AF0109              
  163 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     26 | Equivalence | 11 |         |    0 | 00/0000               | BM1_START_ADDY_M         =     $AF010A              
  164 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     27 | Equivalence | 11 |         |    0 | 00/0000               | BM1_START_ADDY_H         =     $AF010B              
  165 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     28 | Equivalence | 11 |         |    0 | 00/0000               | BM1_X_OFFSET             =     $AF010C              ; Not Implemented
  166 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     29 | Equivalence | 11 |         |    0 | 00/0000               | BM1_Y_OFFSET             =     $AF010D              ; Not Implemented
  167 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     30 | Equivalence | 11 |         |    0 | 00/0000               | BM1_RESERVED_6           =     $AF010E              
  168 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     31 | Equivalence | 11 |         |    0 | 00/0000               | BM1_RESERVED_7           =     $AF010F              
  169 |  3  phx/VKYII_CFP9553_BITMAP_def.asm     32 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  170 |  1                             dma.s     17 | Directive   | 11 |         |    0 | 00/0000               |                          use   phx/VKYII_CFP9553_TILEMAP_def.asm
  171 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      1 | Comment     | 11 |         |    0 | 00/0000               | ; CS_TileMAP0_Registers $AF:0200 - $AF:027F   - TileMap
  172 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      2 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  173 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      3 | Comment     | 11 |         |    0 | 00/0000               | ; A TileMAP is composed of 16bits Tile Number
  174 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      4 | Comment     | 11 |         |    0 | 00/0000               | ;Active_Tile_Data[7:0] -> Tile Number
  175 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      5 | Comment     | 11 |         |    0 | 00/0000               | ;Active_Tile_Data[10:8] -> Tile Attributes // Tile Set
  176 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      6 | Comment     | 11 |         |    0 | 00/0000               | ;Active_Tile_Data[13:11] -> Undefined
  177 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      7 | Comment     | 11 |         |    0 | 00/0000               | ;Active_Tile_Data[14] -> Undefined
  178 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      8 | Comment     | 11 |         |    0 | 00/0000               | ;Active_Tile_Data[15] -> undefined
  179 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm      9 | Empty       | 11 |         |    0 | 00/0000               |                                                     
  180 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     10 | Comment     | 11 |         |    0 | 00/0000               | ; Bit Field Definition for the Control Register
  181 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     11 | Equivalence | 11 |         |    0 | 00/0000               | TILE_Enable              =     $01                  
  182 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     12 | Equivalence | 11 |         |    0 | 00/0000               | TILE_Collision_On        =     $40                  ; Enable
  183 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     13 | Comment     | 11 |         |    0 | 00/0000               | ;
  184 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     14 | Comment     | 11 |         |    0 | 00/0000               | ;Tile MAP Layer 0 Registers
  185 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     15 | Equivalence | 11 |         |    0 | 00/0000               | TL0_CONTROL_REG          =     $AF0200              ; Bit[0] - Enable, Bit[3:1] - LUT Select,
  186 |  4 phx/VKYII_CFP9553_TILEMAP_def.asm     16 | Equivalence | 11 |         |    0 | 00/0000               | TL0_START_ADDY_L         =     $AF0201              ; Not USed right now - Starting Address to where is the MAP
